Width,Height
640,427
422,640
375,500
500,375
640,426
640,480
640,427
640,480
500,333
498,500
428,640
640,480
640,480
612,612
640,480
500,500
500,281
480,640
640,419
640,480
640,480
399,500
640,480
640,427
640,480
640,427
424,500
640,480
480,640
640,480
640,428
640,478
500,375
375,500
640,366
336,500
640,480
500,333
424,640
640,480
640,427
640,479
500,375
640,426
640,512
640,480
240,360
375,500
500,375
612,612
640,427
640,427
480,640
640,383
640,470
640,480
500,375
640,489
427,640
640,421
640,425
500,375
640,480
640,480
640,480
640,480
640,425
500,375
480,640
430,640
640,424
426,640
640,480
640,480
640,427
640,438
426,640
640,480
640,425
640,426
500,333
500,334
500,375
256,256
640,480
500,375
334,500
640,480
640,426
500,375
500,333
640,427
640,480
375,500
427,640
295,480
640,316
640,428
640,426
640,480
640,360
500,309
428,640
585,640
640,360
480,640
480,360
500,387
427,640
640,480
480,640
640,480
640,480
640,425
500,333
480,640
612,612
598,640
480,640
640,480
500,333
640,338
375,500
640,360
640,428
640,426
427,640
640,480
500,375
640,426
500,373
500,375
640,480
640,480
320,240
421,640
500,330
640,421
640,427
480,640
480,640
640,428
433,640
640,480
500,375
480,640
500,375
640,480
640,426
640,425
334,500
500,375
640,428
500,333
640,427
640,556
640,360
480,640
612,612
640,480
640,480
536,640
640,480
640,457
500,375
640,450
640,427
640,521
427,640
337,640
640,426
375,500
640,360
333,500
640,480
425,640
500,375
640,428
425,640
640,480
515,640
640,425
640,640
480,640
640,428
368,500
427,640
500,375
480,640
640,480
500,336
640,640
640,427
468,640
640,640
375,500
640,424
500,375
640,427
640,444
260,320
500,375
640,480
500,298
640,421
640,424
500,374
640,480
640,427
500,351
378,640
640,427
500,375
500,374
612,612
500,370
427,640
640,427
500,281
500,375
640,427
640,299
640,480
640,481
640,640
500,375
480,640
500,375
256,256
500,230
640,480
640,427
640,458
640,470
640,480
640,429
640,480
500,333
500,244
256,256
640,480
480,640
640,457
375,500
500,375
427,640
640,427
428,640
640,426
640,427
500,393
480,640
500,333
640,480
375,500
640,360
640,480
472,640
640,426
640,480
500,334
256,256
480,640
427,640
640,640
640,427
640,427
500,375
640,426
640,381
640,633
500,375
640,427
426,640
480,640
640,480
640,457
640,480
425,640
500,375
478,640
480,640
640,424
640,440
427,640
428,640
640,426
640,431
640,427
640,480
640,480
480,640
375,500
425,640
427,640
480,640
640,515
640,360
427,640
500,335
640,480
640,427
480,640
500,375
500,375
480,640
375,500
640,426
533,640
640,312
427,640
640,480
375,500
640,425
500,376
480,640
334,500
500,375
500,333
640,427
480,640
500,375
480,640
640,425
640,424
640,461
500,379
500,333
519,640
640,480
640,363
640,428
480,640
500,333
640,574
640,480
640,360
573,640
640,393
480,640
640,427
640,480
640,426
500,375
353,500
640,360
640,396
640,640
640,512
500,375
640,606
640,480
460,640
331,500
340,255
500,356
428,640
640,432
500,229
640,453
640,427
425,640
640,428
500,333
640,426
500,375
640,399
640,427
640,480
480,640
640,428
480,640
640,480
295,500
612,612
500,321
500,375
500,375
488,364
640,348
393,271
640,428
612,612
640,480
600,400
640,480
480,640
333,500
640,326
640,480
612,612
612,612
246,640
427,640
640,427
640,426
640,425
426,640
640,427
640,354
640,426
640,421
500,378
640,480
640,331
640,484
640,480
561,640
256,256
500,333
640,480
640,480
500,375
640,427
428,640
500,375
480,640
257,256
320,240
441,640
500,333
508,640
480,640
256,256
640,480
426,640
640,427
428,640
640,480
529,640
640,480
640,480
640,480
444,640
500,375
640,427
480,640
480,640
640,480
640,480
640,640
500,375
375,500
426,640
640,427
640,637
640,480
500,400
500,375
640,427
640,424
640,576
480,640
480,640
500,334
640,480
640,427
640,428
500,375
500,333
640,480
640,427
500,375
612,612
480,640
533,640
640,427
640,424
480,640
404,640
500,375
640,427
480,640
640,427
640,480
640,427
640,427
400,300
640,427
640,529
640,480
612,612
640,413
640,480
480,640
640,437
640,427
640,426
480,640
640,640
463,640
640,379
640,426
500,333
